item_cd,market_group,n_obs,p_mean,obs_mean,p_sd,obs_sd,p_skew,obs_skew,p_min,obs_min,p_max,obs_max
111,11,14,0.498,10.521489414262534,0.952,0.25447919808889047,0.538,-0.03761029532540223,0.045,10.196194479235656,0.978,10.7706090484022
111,21,11,0.455,10.633977682871453,0.937,0.2624115204084829,0.873,-0.6104055783146177,0.122,10.2328272702548,0.97,10.821796246953596
111,22,10,0.466,10.565270353078335,0.982,0.21470038344975276,0.951,-0.9808366761010056,0.149,10.165890277802454,0.98,10.69650269224425
111,24,10,0.425,10.67331822576326,0.919,0.2785706784167768,0.944,-0.906474086087296,0.208,10.203629181337648,0.97,10.84546552414626
111,25,10,0.412,10.683196601202827,0.955,0.24370995880443586,0.942,-0.8955352883642604,0.131,10.305647203635566,0.964,10.835671318412196
112,11,16,0.509,9.657436703060931,0.347,1.7337260684284193,0.296,0.23751485090818084,0.104,8.003363058629947,0.835,11.561725152903833
112,21,11,0.475,10.26181281141142,0.348,1.6350624923110801,0.866,-0.5777729286354284,0.461,8.003363058629947,0.874,11.438212694578302
112,22,10,0.464,10.458017544119278,0.319,1.6365781531009342,0.942,-0.8743884289802366,0.578,8.003363058629947,0.886,11.474195031610165
112,24,10,0.457,10.45311252784092,0.285,1.583980350383355,0.936,-0.8782877127995345,0.615,8.003363058629947,0.881,11.43605521971203
112,25,10,0.48,10.56024516832765,0.335,1.6301688752639576,0.947,-0.8824401715334173,0.61,8.003363058629947,0.894,11.571203807011969
141,11,14,0.506,10.041104780953416,0.319,1.7086565814584478,0.524,-0.04556214957681533,0.292,7.993282328101591,0.816,11.703554089007538
141,21,11,0.455,10.608525141002643,0.346,1.6222997167828221,0.853,-0.5804359179138115,0.5,8.309184527686298,0.878,11.775297421715827
141,22,10,0.454,10.757608447395247,0.279,1.640336898531839,0.944,-0.8797740491580563,0.612,8.200013648175434,0.887,11.775297421715827
141,24,10,0.472,10.755024660053406,0.283,1.5816159412756259,0.932,-0.8810362503815502,0.634,8.294299608857235,0.894,11.736077016252437
141,25,10,0.439,10.762245188972368,0.317,1.6065348632047882,0.922,-0.8742254108070324,0.569,8.35490952835879,0.884,11.759793355371237
143,11,13,0.51,10.784005000748301,0.326,1.3925993683464808,0.658,-0.1684612295672051,0.295,9.15915233520675,0.871,12.019749091416921
143,24,10,0.412,11.442483637024504,0.316,1.4307563223453938,0.948,-0.8935599762815365,0.615,9.112837790614945,0.864,12.328294703023394
143,25,10,0.422,11.424792605194389,0.316,1.3919808049033435,0.947,-0.8853194724208857,0.583,9.220389707829185,0.866,12.28765724080691
151,11,16,0.503,9.242360808032776,0.427,0.8664560721257385,0.316,0.22052751416545666,0.153,8.289288323000317,0.856,10.188704088048116
151,21,11,0.454,9.611093594644148,0.413,0.9328355898668064,0.855,-0.5984355713424976,0.417,8.289288323000317,0.879,10.308985993422082
151,22,10,0.475,9.767537779714797,0.392,0.877040995007377,0.932,-0.8826669818381933,0.58,8.373553741214627,0.89,10.357774570341576
151,24,10,0.461,9.671361498678198,0.441,0.8303281682836439,0.938,-0.89959017479309,0.55,8.294299608857235,0.888,10.221977646629885
151,25,10,0.427,9.684298664920862,0.444,0.8403729031353484,0.934,-0.8897911590761466,0.577,8.294299608857235,0.851,10.308985993422082
152,11,12,0.51,8.800500022479682,0.281,2.437875640452032,0.74,-0.3574138203734069,0.421,5.707110264748875,0.85,10.825780236605917
152,21,11,0.482,8.91495498305865,0.28,2.3083303140163194,0.869,-0.595319223707506,0.574,5.5053315359323625,0.873,10.596659732783579
211,11,15,0.484,8.431971877404374,0.723,0.41896894906392895,0.613,-0.14266370209346196,0.215,7.816416983691801,0.889,8.936035096566041
211,21,11,0.433,8.48187590631194,0.905,0.2915708798320958,0.968,-1.015519471494252,0.321,7.886457270977689,0.913,8.77971129020447
211,22,10,0.433,8.596118438113589,0.88,0.3151834380938937,0.942,-1.0023518828354028,0.317,8.003363058629947,0.942,8.853808274977197
211,24,10,0.467,8.519272208131696,0.851,0.3531156226434336,0.945,-0.9949196216045405,0.374,7.820439515262181,0.919,8.798001694924846
211,25,10,0.442,8.621043808109366,0.832,0.3604039711847991,0.936,-0.861979253768862,0.288,8.003363058629947,0.934,8.899867211223587
212,11,15,0.423,8.454116809346097,0.893,0.3139793636106298,0.648,-0.21204436988613018,0.137,7.9658927350845286,0.757,8.987321812850125
212,21,11,0.469,8.38953755576548,0.955,0.26590848567069403,0.927,-0.8162669838999905,0.323,7.816416983691801,0.858,8.77971129020447
212,22,10,0.437,8.462175731859238,0.99,0.19923735572832238,0.778,-0.440875835977321,0.077,8.157943507105037,0.94,8.699681400989514
212,24,10,0.503,8.351012235825042,0.996,0.15731132375162493,0.98,-1.2325708975279523,0.14,8.006700845440367,0.984,8.482808764554406
212,25,10,0.519,8.323341363328861,0.989,0.18193202316922938,0.918,-0.7541250158983038,0.165,7.9483852851118995,0.948,8.566173813637858
213,11,16,0.475,7.92739470249527,0.353,1.4954513360410626,0.346,0.16552606774684078,0.192,6.2166061010848646,0.773,9.680406499268875
213,21,11,0.461,8.440573654161552,0.341,1.2703822699369216,0.846,-0.5703261136426743,0.473,6.634633357861686,0.849,9.472781556562168
213,22,10,0.466,8.62459363061976,0.375,1.0985712475326668,0.933,-0.8855286450451251,0.57,6.898714534329988,0.887,9.392745258631441
