"forecast_id","analysis_date","item_cd","market_group","horizon","forecast_mean","forecast_median","forecast_std","ci_lower","ci_upper","pi_lower","pi_upper","model_type","n_observations","pooling_level","created_at"
1,20260129,111,"11",1,45139.5689543912,37321.40787562378,31853.584178219357,10768.989332448651,126458.62251850675,10768.989332448651,126458.62251850675,hierarchical_normal,14,partial,"2026-01-29 10:22:39"
2,20260129,111,"11",3,44936.31597438767,37304.91213746615,33381.35654560348,10795.902404566352,118946.41356164863,10795.902404566352,118946.41356164863,hierarchical_normal,14,partial,"2026-01-29 10:22:39"
3,20260129,111,"11",7,46114.129235815584,37100.989352295466,36963.56017748816,11265.218724611681,132037.33444140194,11265.218724611681,132037.33444140194,hierarchical_normal,14,partial,"2026-01-29 10:22:39"
4,20260129,111,"11",14,44744.77623429177,36915.88606022505,31755.015756740428,10625.467384562211,129734.1145253998,10625.467384562211,129734.1145253998,hierarchical_normal,14,partial,"2026-01-29 10:22:39"
5,20260129,111,"21",1,50026.82229441744,40125.64847429834,41544.73593220645,10514.336644109351,145031.40471643838,10514.336644109351,145031.40471643838,hierarchical_normal,11,partial,"2026-01-29 10:22:39"
6,20260129,111,"21",3,50517.44893523328,40754.99780986357,43933.038444393904,10628.848881354857,149813.20428157487,10628.848881354857,149813.20428157487,hierarchical_normal,11,partial,"2026-01-29 10:22:39"
7,20260129,111,"21",7,52449.150168315085,40948.434305256174,46104.37117486749,10242.974757484593,164523.07606083163,10242.974757484593,164523.07606083163,hierarchical_normal,11,partial,"2026-01-29 10:22:39"
8,20260129,111,"22",1,47936.358990275316,38008.975778681124,42107.142964184444,9658.272427204985,146943.04371969108,9658.272427204985,146943.04371969108,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
9,20260129,111,"22",3,47972.79712063953,38710.0828800209,38322.56049432996,9553.826163776168,144256.8718911987,9553.826163776168,144256.8718911987,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
10,20260129,111,"22",7,48213.1568968488,38393.79487141514,39037.24349978948,9998.819263718156,144974.29585611966,9998.819263718156,144974.29585611966,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
11,20260129,111,"24",1,52555.1294055481,40787.2525055479,42687.70317117833,10366.800942559112,167085.33933677003,10366.800942559112,167085.33933677003,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
12,20260129,111,"24",3,52538.53626414995,41219.78430369786,43354.60440080679,10022.459519065414,166886.61017247677,10022.459519065414,166886.61017247677,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
13,20260129,111,"24",7,54015.943835614555,41716.84105602246,46695.24550632195,10102.9041715438,166635.0363440484,10102.9041715438,166635.0363440484,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
14,20260129,111,"25",1,53283.237200992284,41425.56807801313,47893.503358368675,9754.24976362473,172351.4946811974,9754.24976362473,172351.4946811974,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
15,20260129,111,"25",3,52770.70767904298,41615.32713292916,47320.48071457597,11080.413939844928,164257.7831885554,11080.413939844928,164257.7831885554,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
16,20260129,111,"25",7,53011.52064848126,41940.16343519616,41880.98391780822,9967.566256508651,168618.5942872763,9967.566256508651,168618.5942872763,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
17,20260129,111,"31",1,37493.334228814674,36340.806984710376,9707.798136995933,21138.40114406862,59545.401921742385,21138.40114406862,59545.401921742385,empirical_bayes,6,partial,"2026-01-29 10:22:39"
18,20260129,111,"31",3,38059.72489140591,36736.015283645946,9751.582418863429,22869.401113762917,60969.92495025811,22869.401113762917,60969.92495025811,empirical_bayes,6,partial,"2026-01-29 10:22:39"
19,20260129,111,"37",1,37926.018019559284,36894.83194796211,9796.278702278421,22542.176275537964,61771.1035461392,22542.176275537964,61771.1035461392,empirical_bayes,3,partial,"2026-01-29 10:22:39"
20,20260129,111,"37",3,37480.343937966645,36374.99249640343,9593.464361669588,22202.81466925703,59656.99317479987,22202.81466925703,59656.99317479987,empirical_bayes,3,partial,"2026-01-29 10:22:39"
21,20260129,111,"38",1,37768.46885200857,36625.99214597407,10017.267755492194,22246.02880052539,60472.211972745856,22246.02880052539,60472.211972745856,empirical_bayes,3,partial,"2026-01-29 10:22:39"
22,20260129,111,"38",3,37708.573409173194,36728.95926634458,9368.142989176094,22771.752674645042,59720.341560091576,22771.752674645042,59720.341560091576,empirical_bayes,3,partial,"2026-01-29 10:22:39"
23,20260129,112,"11",1,278819.47978595295,14937.50287318954,2827958.1063539665,122.86250372492496,1712168.4880154864,122.86250372492496,1712168.4880154864,hierarchical_normal,16,partial,"2026-01-29 10:22:39"
24,20260129,112,"11",3,564228.6143856796,15900.922610181675,9288357.615634624,137.73501185709037,1970210.026328503,137.73501185709037,1970210.026328503,hierarchical_normal,16,partial,"2026-01-29 10:22:39"
25,20260129,112,"11",7,411903.47204951494,14878.307865318693,4802099.265778271,130.1228528073277,2077503.9781029848,130.1228528073277,2077503.9781029848,hierarchical_normal,16,partial,"2026-01-29 10:22:39"
26,20260129,112,"11",14,986903.4021421598,17005.672856008576,37061136.96873778,126.86416507235519,2132740.243391681,126.86416507235519,2132740.243391681,hierarchical_normal,16,partial,"2026-01-29 10:22:39"
27,20260129,112,"21",1,700812.1402972854,29554.64789752161,9694349.666033551,361.46831469470396,3151294.1969385347,361.46831469470396,3151294.1969385347,hierarchical_normal,11,partial,"2026-01-29 10:22:39"
28,20260129,112,"21",3,541502.5746885078,26506.603249643835,8520037.832054157,403.24813985038134,2026160.941215885,403.24813985038134,2026160.941215885,hierarchical_normal,11,partial,"2026-01-29 10:22:39"
29,20260129,112,"21",7,1676218.810607576,27773.980524708102,58184527.08767828,354.47215224737715,2136313.124072002,354.47215224737715,2136313.124072002,hierarchical_normal,11,partial,"2026-01-29 10:22:39"
30,20260129,112,"22",1,3431172.3444965826,31929.564156712084,146613029.72416717,393.3718533251926,2876573.670842198,393.3718533251926,2876573.670842198,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
31,20260129,112,"22",3,377191.22794560756,33069.73284207257,2500753.370961531,355.3324272783441,2516420.951801603,355.3324272783441,2516420.951801603,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
32,20260129,112,"22",7,679372.1294137279,30909.459266836042,6719275.200176776,425.7976037783653,2784601.569467598,425.7976037783653,2784601.569467598,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
33,20260129,112,"24",1,536773.4547079455,32524.25117300346,8926145.161742965,484.00774595129593,2551055.9902551314,484.00774595129593,2551055.9902551314,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
34,20260129,112,"24",3,352047.5933800814,33470.90594808903,2739925.344919765,422.7329986410861,2053863.045710113,422.7329986410861,2053863.045710113,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
35,20260129,112,"24",7,637835.7001158827,32642.871701798063,6563535.613734648,483.54788020184037,2853579.320948742,483.54788020184037,2853579.320948742,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
36,20260129,112,"25",1,650631.3810469181,35424.47879844625,7286619.92523889,383.1201352263752,3217570.078727681,383.1201352263752,3217570.078727681,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
37,20260129,112,"25",3,862372.1465798987,35903.58098930493,10581463.672039377,365.24703207548015,2543772.357530357,365.24703207548015,2543772.357530357,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
38,20260129,112,"25",7,410160.33484378504,38933.99614590613,2844510.4738225574,451.7312499426007,2597747.122515251,451.7312499426007,2597747.122515251,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
39,20260129,112,"31",1,45710.83840505959,13229.090207038875,100545.54353883883,625.1885139143955,352303.5751039151,625.1885139143955,352303.5751039151,empirical_bayes,6,partial,"2026-01-29 10:22:39"
40,20260129,112,"31",3,61062.269166268154,15308.100365419352,241554.74909626727,509.98411257978165,367720.27317007876,509.98411257978165,367720.27317007876,empirical_bayes,6,partial,"2026-01-29 10:22:39"
41,20260129,112,"37",1,53372.858010789976,14591.468585956922,180353.13593091516,537.8125744996523,354441.3231898198,537.8125744996523,354441.3231898198,empirical_bayes,3,partial,"2026-01-29 10:22:39"
42,20260129,112,"37",3,51522.90699500011,13470.426380743973,124983.06890457815,664.6235287277818,354767.33832741174,664.6235287277818,354767.33832741174,empirical_bayes,3,partial,"2026-01-29 10:22:39"
43,20260129,112,"38",1,56404.81307243866,14676.008097824117,151333.16293663305,824.419649591227,412569.54777669546,824.419649591227,412569.54777669546,empirical_bayes,3,partial,"2026-01-29 10:22:39"
44,20260129,112,"38",3,58795.52870862557,14512.917143800525,163914.96545133216,590.6651081077104,343045.1548088452,590.6651081077104,343045.1548088452,empirical_bayes,3,partial,"2026-01-29 10:22:39"
45,20260129,141,"11",1,389795.6864063198,21231.873585687725,5291726.912559284,205.79952512005676,2055587.99820565,205.79952512005676,2055587.99820565,hierarchical_normal,14,partial,"2026-01-29 10:22:39"
46,20260129,141,"11",3,443670.34524673945,22373.45965865666,5309170.176998152,201.3449359427688,2228186.596994444,201.3449359427688,2228186.596994444,hierarchical_normal,14,partial,"2026-01-29 10:22:39"
47,20260129,141,"11",7,469038.84693027067,21269.26131828047,5350405.422732391,201.53313510908146,2426096.417613242,201.53313510908146,2426096.417613242,hierarchical_normal,14,partial,"2026-01-29 10:22:39"
48,20260129,141,"11",14,419306.0520127775,21081.657492903112,6514668.98085568,202.1014838867058,2130898.2617838276,202.1014838867058,2130898.2617838276,hierarchical_normal,14,partial,"2026-01-29 10:22:39"
49,20260129,141,"21",1,458681.2780452782,37522.87934257825,3883996.8146364847,413.2013348844204,2897195.494018434,413.2013348844204,2897195.494018434,hierarchical_normal,11,partial,"2026-01-29 10:22:39"
50,20260129,141,"21",3,630448.690418371,36366.900768566185,7151391.712484799,441.2716499935726,2885797.018468597,441.2716499935726,2885797.018468597,hierarchical_normal,11,partial,"2026-01-29 10:22:39"
51,20260129,141,"21",7,570144.1222515255,39914.3546442182,5386214.361316417,390.6259502938275,2818369.118313859,390.6259502938275,2818369.118313859,hierarchical_normal,11,partial,"2026-01-29 10:22:39"
52,20260129,141,"22",1,480252.3623683869,41926.30661465503,5658895.712491533,473.1195524515837,3060270.715726909,473.1195524515837,3060270.715726909,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
53,20260129,141,"22",3,658010.4983627483,46404.18851712072,5918124.627055578,637.258397694202,3728059.666887964,637.258397694202,3728059.666887964,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
54,20260129,141,"22",7,693105.202360911,43235.12007145193,9067044.456136592,579.4483390009316,3457625.5254356917,579.4483390009316,3457625.5254356917,hierarchical_normal,10,partial,"2026-01-29 10:22:39"
