"policy_id","analysis_date","item_cd","market_group","policy_type","horizon","lead_time","service_level","safety_stock_mean","safety_stock_std","reorder_point_mean","reorder_point_std","expected_cost_mean","expected_cost_std","fill_rate","model_version","created_at"
1,20260129,111,"11",bayesian_newsvendor,1,1,0.9,34831.295123055665,31853.584178219357,79970.86407744687,31853.584178219357,18598.64782728823,28439.834891880666,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
2,20260129,111,"11",bayesian_newsvendor,3,3,0.9,106181.33656116982,100144.06963681044,240990.28448433283,57818.20556255713,53333.49468669335,85368.79848855315,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
3,20260129,111,"11",bayesian_newsvendor,7,7,0.9,253746.13964132086,258744.92124241713,576545.0442920299,97796.38780120418,153131.7242928555,196042.13860965706,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
4,20260129,111,"11",bayesian_newsvendor,14,14,0.9,494224.0647519431,444570.2205943661,1120650.9320320277,118816.38927333071,271253.9416630377,387729.2982251722,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
5,20260129,111,"11",bayesian_newsvendor,1,1,0.95,56452.044587190496,31853.584178219357,101591.6135415817,31853.584178219357,18598.64782728823,28439.834891880666,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
6,20260129,111,"11",bayesian_newsvendor,3,3,0.95,159437.5464320698,100144.06963681044,294246.4943552328,57818.20556255713,53333.49468669335,85368.79848855315,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
7,20260129,111,"11",bayesian_newsvendor,7,7,0.95,418304.2621127795,258744.92124241713,741103.1667634886,97796.38780120418,153131.7242928555,196042.13860965706,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
8,20260129,111,"11",bayesian_newsvendor,14,14,0.95,833006.8523864478,444570.2205943661,1459433.7196665325,118816.38927333071,271253.9416630377,387729.2982251722,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
9,20260129,111,"11",bayesian_newsvendor,1,1,0.99,129263.65164669708,31853.584178219357,174403.22060108828,31853.584178219357,18598.64782728823,28439.834891880666,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
10,20260129,111,"11",bayesian_newsvendor,3,3,0.99,345208.29205992544,100144.06963681044,480017.23998308845,57818.20556255713,53333.49468669335,85368.79848855315,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
11,20260129,111,"11",bayesian_newsvendor,7,7,0.99,972385.0559235867,258744.92124241713,1295183.9605742958,97796.38780120418,153131.7242928555,196042.13860965706,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
12,20260129,111,"11",bayesian_newsvendor,14,14,0.99,1733051.6205914132,444570.2205943661,2359478.487871498,118816.38927333071,271253.9416630377,387729.2982251722,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
13,20260129,111,"21",bayesian_newsvendor,1,1,0.9,41669.89283276293,41544.73593220645,91696.71512718037,41544.73593220645,25403.32276092649,30583.922907631375,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
14,20260129,111,"21",bayesian_newsvendor,3,3,0.9,125617.34275612197,131799.1153331817,277169.6895618218,76094.25471656698,74363.62410315956,93178.55650911492,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
15,20260129,111,"21",bayesian_newsvendor,7,7,0.9,312220.0675137954,322730.5982240724,679364.118692001,121980.70048171419,201546.93948437175,220048.46970836542,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
16,20260129,111,"21",bayesian_newsvendor,7,14,0.9,624440.1350275908,645461.1964481449,1358728.237384002,172506.76096901053,403093.8789687435,440096.93941673083,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
17,20260129,111,"21",bayesian_newsvendor,1,1,0.95,66105.47018455583,41544.73593220645,116132.29247897328,41544.73593220645,25403.32276092649,30583.922907631375,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
18,20260129,111,"21",bayesian_newsvendor,3,3,0.95,196682.98931183023,131799.1153331817,348235.33611753007,76094.25471656698,74363.62410315956,93178.55650911492,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
19,20260129,111,"21",bayesian_newsvendor,7,7,0.95,536988.7845179923,322730.5982240724,904132.8356961978,121980.70048171419,201546.93948437175,220048.46970836542,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
20,20260129,111,"21",bayesian_newsvendor,7,14,0.95,1073977.5690359846,645461.1964481449,1808265.6713923956,172506.76096901053,403093.8789687435,440096.93941673083,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
21,20260129,111,"21",bayesian_newsvendor,1,1,0.99,155498.93567204484,41544.73593220645,205525.7579664623,41544.73593220645,25403.32276092649,30583.922907631375,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
22,20260129,111,"21",bayesian_newsvendor,3,3,0.99,430016.1953571475,131799.1153331817,581568.5421628474,76094.25471656698,74363.62410315956,93178.55650911492,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
23,20260129,111,"21",bayesian_newsvendor,7,7,0.99,1081353.2934621975,322730.5982240724,1448497.344640403,121980.70048171419,201546.93948437175,220048.46970836542,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
24,20260129,111,"21",bayesian_newsvendor,7,14,0.99,2162706.586924395,645461.1964481449,2896994.689280806,172506.76096901053,403093.8789687435,440096.93941673083,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
25,20260129,111,"22",bayesian_newsvendor,1,1,0.9,39390.63937496966,42107.142964184444,87326.99836524497,42107.142964184444,26484.99063984394,28666.950276368098,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
26,20260129,111,"22",bayesian_newsvendor,3,3,0.9,116261.96874644872,114967.6814829899,260180.36010836734,66376.62185231136,72197.24856482845,87405.49310578727,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
27,20260129,111,"22",bayesian_newsvendor,7,7,0.9,272433.2620758411,273260.70449852635,609925.3603537827,103282.83816991569,170809.8133651532,205699.28034062794,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
28,20260129,111,"22",bayesian_newsvendor,7,14,0.9,544866.5241516822,546521.4089970527,1219850.7207075653,146063.99050028034,341619.6267303064,411398.5606812559,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
29,20260129,111,"22",bayesian_newsvendor,1,1,0.95,66823.20679351504,42107.142964184444,114759.56578379036,42107.142964184444,26484.99063984394,28666.950276368098,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
30,20260129,111,"22",bayesian_newsvendor,3,3,0.95,198054.5218598485,114967.6814829899,341972.9132217671,66376.62185231136,72197.24856482845,87405.49310578727,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
31,20260129,111,"22",bayesian_newsvendor,7,7,0.95,449994.63824619784,273260.70449852635,787486.7365241394,103282.83816991569,170809.8133651532,205699.28034062794,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
32,20260129,111,"22",bayesian_newsvendor,7,14,0.95,899989.2764923957,546521.4089970527,1574973.4730482788,146063.99050028034,341619.6267303064,411398.5606812559,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
33,20260129,111,"22",bayesian_newsvendor,1,1,0.99,155524.55028135004,42107.142964184444,203460.90927162534,42107.142964184444,26484.99063984394,28666.950276368098,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
34,20260129,111,"22",bayesian_newsvendor,3,3,0.99,430652.7800172459,114967.6814829899,574571.1713791646,66376.62185231136,72197.24856482845,87405.49310578727,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
35,20260129,111,"22",bayesian_newsvendor,7,7,0.99,1053918.7436893093,273260.70449852635,1391410.841967251,103282.83816991569,170809.8133651532,205699.28034062794,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
36,20260129,111,"22",bayesian_newsvendor,7,14,0.99,2107837.4873786187,546521.4089970527,2782821.683934502,146063.99050028034,341619.6267303064,411398.5606812559,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
37,20260129,111,"24",bayesian_newsvendor,1,1,0.9,47039.90489644304,42687.70317117833,99595.03430199114,42687.70317117833,28485.79475515554,32025.79287267737,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
38,20260129,111,"24",bayesian_newsvendor,3,3,0.9,141153.66202135346,130063.81320242038,298769.27081380336,75092.3775642466,86027.39064286221,95109.24054707792,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
39,20260129,111,"24",bayesian_newsvendor,7,7,0.9,346193.4588879027,326866.71854425373,724305.0657372046,123544.00701883425,214756.7677548904,225834.32977449382,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
40,20260129,111,"24",bayesian_newsvendor,7,14,0.9,692386.9177758055,653733.4370885075,1448610.1314744093,174717.61027595223,429513.5355097808,451668.65954898763,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
41,20260129,111,"24",bayesian_newsvendor,1,1,0.95,81749.0171539837,42687.70317117833,134304.1465595318,42687.70317117833,28485.79475515554,32025.79287267737,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
42,20260129,111,"24",bayesian_newsvendor,3,3,0.95,234158.6125304925,130063.81320242038,391774.2213229424,75092.3775642466,86027.39064286221,95109.24054707792,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
43,20260129,111,"24",bayesian_newsvendor,7,7,0.95,555541.273231817,326866.71854425373,933652.8800811188,123544.00701883425,214756.7677548904,225834.32977449382,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
44,20260129,111,"24",bayesian_newsvendor,7,14,0.95,1111082.546463634,653733.4370885075,1867305.7601622376,174717.61027595223,429513.5355097808,451668.65954898763,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
45,20260129,111,"24",bayesian_newsvendor,1,1,0.99,157206.9434263857,42687.70317117833,209762.0728319338,42687.70317117833,28485.79475515554,32025.79287267737,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
46,20260129,111,"24",bayesian_newsvendor,3,3,0.99,477577.58379759686,130063.81320242038,635193.1925900468,75092.3775642466,86027.39064286221,95109.24054707792,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
47,20260129,111,"24",bayesian_newsvendor,7,7,0.99,1276163.510998048,326866.71854425373,1654275.1178473497,123544.00701883425,214756.7677548904,225834.32977449382,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
48,20260129,111,"24",bayesian_newsvendor,7,14,0.99,2552327.021996096,653733.4370885075,3308550.2356946995,174717.61027595223,429513.5355097808,451668.65954898763,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
49,20260129,111,"25",bayesian_newsvendor,1,1,0.9,43373.23192566191,47893.503358368675,96656.46912665419,47893.503358368675,31411.620477938515,31506.15725867327,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
50,20260129,111,"25",bayesian_newsvendor,3,3,0.9,140663.0078185516,141961.44214372794,298975.1308556805,81961.47683622879,89684.54692793543,93299.21069283108,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
51,20260129,111,"25",bayesian_newsvendor,7,7,0.9,315316.3971119614,293166.8874246575,686397.0416513302,110806.66810921613,195912.19076195036,224013.49960436719,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
52,20260129,111,"25",bayesian_newsvendor,7,14,0.9,630632.7942239228,586333.774849315,1372794.0833026604,156704.29284142776,391824.3815239007,448026.99920873437,0.9,bayesian_v1.0,"2026-01-29 10:22:47"
53,20260129,111,"25",bayesian_newsvendor,1,1,0.95,71008.00784633901,47893.503358368675,124291.2450473313,47893.503358368675,31411.620477938515,31506.15725867327,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
54,20260129,111,"25",bayesian_newsvendor,3,3,0.95,235498.19634843632,141961.44214372794,393810.31938556524,81961.47683622879,89684.54692793543,93299.21069283108,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
55,20260129,111,"25",bayesian_newsvendor,7,7,0.95,548368.5894038973,293166.8874246575,919449.2339432661,110806.66810921613,195912.19076195036,224013.49960436719,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
56,20260129,111,"25",bayesian_newsvendor,7,14,0.95,1096737.1788077946,586333.774849315,1838898.4678865322,156704.29284142776,391824.3815239007,448026.99920873437,0.95,bayesian_v1.0,"2026-01-29 10:22:47"
57,20260129,111,"25",bayesian_newsvendor,1,1,0.99,196129.74758159992,47893.503358368675,249412.9847825922,47893.503358368675,31411.620477938515,31506.15725867327,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
58,20260129,111,"25",bayesian_newsvendor,3,3,0.99,470534.987630912,141961.44214372794,628847.1106680409,81961.47683622879,89684.54692793543,93299.21069283108,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
59,20260129,111,"25",bayesian_newsvendor,7,7,0.99,1222887.5894618228,293166.8874246575,1593968.2340011916,110806.66810921613,195912.19076195036,224013.49960436719,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
60,20260129,111,"25",bayesian_newsvendor,7,14,0.99,2445775.1789236455,586333.774849315,3187936.468002383,156704.29284142776,391824.3815239007,448026.99920873437,0.99,bayesian_v1.0,"2026-01-29 10:22:47"
