"fact_id","exmn_ymd","item_cd","mrkt_cd","ctgry_cd","ctgry_nm","item_nm","price","price_type","created_at"
561,20240101,4301,1000006,500,축산물,소,7234.0,retail,"2026-01-29 10:22:18"
565,20240101,4304,1000006,500,축산물,돼지,2258.0,retail,"2026-01-29 10:22:18"
569,20240101,4401,1000006,500,축산물,수입 소고기,4078.0,retail,"2026-01-29 10:22:18"
570,20240101,4402,1000006,500,축산물,수입 돼지고기,1556.0,retail,"2026-01-29 10:22:18"
576,20240101,9901,1000006,500,축산물,닭,5741.0,retail,"2026-01-29 10:22:18"
580,20240101,9903,1000006,500,축산물,계란,9670.0,retail,"2026-01-29 10:22:18"
581,20240101,9908,1000006,500,축산물,우유,3048.0,retail,"2026-01-29 10:22:18"
582,20240102,112,110212,100,식량작물,찹쌀,3000.0,retail,"2026-01-29 10:22:18"
583,20240102,112,110402,100,식량작물,찹쌀,2990.0,retail,"2026-01-29 10:22:18"
584,20240102,112,110403,100,식량작물,찹쌀,3950.0,retail,"2026-01-29 10:22:18"
585,20240102,112,110406,100,식량작물,찹쌀,4700.0,retail,"2026-01-29 10:22:18"
586,20240102,112,210022,100,식량작물,찹쌀,3560.0,retail,"2026-01-29 10:22:18"
587,20240102,112,210401,100,식량작물,찹쌀,2990.0,retail,"2026-01-29 10:22:18"
588,20240102,112,210402,100,식량작물,찹쌀,3630.0,retail,"2026-01-29 10:22:18"
589,20240102,112,220403,100,식량작물,찹쌀,2990.0,retail,"2026-01-29 10:22:18"
590,20240102,112,230036,100,식량작물,찹쌀,3530.0,retail,"2026-01-29 10:22:18"
591,20240102,112,230401,100,식량작물,찹쌀,3740.0,retail,"2026-01-29 10:22:18"
592,20240102,112,240121,100,식량작물,찹쌀,3820.0,retail,"2026-01-29 10:22:18"
593,20240102,112,240401,100,식량작물,찹쌀,2990.0,retail,"2026-01-29 10:22:18"
594,20240102,112,240402,100,식량작물,찹쌀,3740.0,retail,"2026-01-29 10:22:18"
595,20240102,112,250112,100,식량작물,찹쌀,4330.0,retail,"2026-01-29 10:22:18"
