"item_cd","item_nm","ctgry_cd","ctgry_nm","first_seen","last_updated"
4301,소,500,축산물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
4304,돼지,500,축산물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
4401,수입 소고기,500,축산물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
4402,수입 돼지고기,500,축산물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
9901,닭,500,축산물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
9903,계란,500,축산물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
9908,우유,500,축산물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
112,찹쌀,100,식량작물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
141,콩,100,식량작물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
142,팥,100,식량작물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
143,녹두,100,식량작물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
151,고구마,100,식량작물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
152,감자,100,식량작물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
211,배추,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
212,양배추,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
213,시금치,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
214,상추,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
215,얼갈이배추,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
221,수박,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
223,오이,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
224,호박,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
225,토마토,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
226,딸기,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
231,무,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
232,당근,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
233,열무,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
241,건고추,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
242,풋고추,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
243,붉은고추,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
258,깐마늘(국산),200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
245,양파,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
246,파,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
247,생강,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
252,미나리,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
253,깻잎,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
255,피망,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
256,파프리카,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
257,멜론,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
312,참깨,300,특용작물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
314,땅콩,300,특용작물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
315,느타리버섯,300,특용작물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
316,팽이버섯,300,특용작물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
317,새송이버섯,300,특용작물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
411,사과,400,과일류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
412,배,400,과일류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
416,단감,400,과일류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
418,바나나,400,과일류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
422,방울토마토,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
611,고등어,600,수산물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
638,마른멸치,600,수산물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
641,김,600,수산물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
642,마른미역,600,수산물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
644,굴,600,수산물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
649,수입조기,600,수산물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
318,호두,300,특용작물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
319,아몬드,300,특용작물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
424,레몬,400,과일류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
425,체리,400,과일류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
419,참다래,400,과일류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
420,파인애플,400,과일류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
428,망고,400,과일류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
248,고춧가루,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
216,갓,200,채소류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
650,새우젓,600,수산물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
651,멸치액젓,600,수산물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
652,천일염,600,수산물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
653,전복,600,수산물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
654,새우,600,수산물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
612,꽁치,600,수산물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
415,감귤,400,과일류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
421,오렌지,400,과일류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
414,포도,400,과일류,"2026-01-29 19:22:19","2026-01-29 19:22:19"
111,쌀,100,식량작물,"2026-01-29 19:22:19","2026-01-29 19:22:19"
811,즉석밥,800,식품,"2026-01-29 19:22:19","2026-01-29 19:22:19"
812,두부,800,식품,"2026-01-29 19:22:19","2026-01-29 19:22:19"
