"diagnostic_id","analysis_date","item_cd","market_group","model_type","diagnostic_name","diagnostic_value","passed_check","created_at"
1,20260129,111,"11",hierarchical_normal,Gelman_Rubin_Rhat,0.9997968440418292,1,"2026-01-29 10:22:39"
2,20260129,111,"21",hierarchical_normal,Gelman_Rubin_Rhat,0.9997345448662562,1,"2026-01-29 10:22:39"
3,20260129,111,"22",hierarchical_normal,Gelman_Rubin_Rhat,0.9996677994058555,1,"2026-01-29 10:22:39"
4,20260129,111,"24",hierarchical_normal,Gelman_Rubin_Rhat,1.000102702490473,1,"2026-01-29 10:22:39"
5,20260129,111,"25",hierarchical_normal,Gelman_Rubin_Rhat,1.000195758045343,1,"2026-01-29 10:22:39"
6,20260129,111,"31",empirical_bayes,RMSE,0.22366679150039032,1,"2026-01-29 10:22:39"
7,20260129,111,"31",empirical_bayes,MAE,0.2192826082417,1,"2026-01-29 10:22:39"
8,20260129,111,"37",empirical_bayes,RMSE,0.21943850661464276,1,"2026-01-29 10:22:39"
9,20260129,111,"37",empirical_bayes,MAE,0.21724498103285939,1,"2026-01-29 10:22:39"
10,20260129,111,"38",empirical_bayes,RMSE,0.20971821831605444,1,"2026-01-29 10:22:39"
11,20260129,111,"38",empirical_bayes,MAE,0.20897251687537377,1,"2026-01-29 10:22:39"
12,20260129,112,"11",hierarchical_normal,Gelman_Rubin_Rhat,0.9998984096689959,1,"2026-01-29 10:22:39"
13,20260129,112,"21",hierarchical_normal,Gelman_Rubin_Rhat,1.0002188348731216,1,"2026-01-29 10:22:39"
14,20260129,112,"22",hierarchical_normal,Gelman_Rubin_Rhat,0.9996717938980896,1,"2026-01-29 10:22:39"
15,20260129,112,"24",hierarchical_normal,Gelman_Rubin_Rhat,0.9997266547695374,1,"2026-01-29 10:22:39"
16,20260129,112,"25",hierarchical_normal,Gelman_Rubin_Rhat,0.9996765389171568,1,"2026-01-29 10:22:39"
17,20260129,112,"31",empirical_bayes,RMSE,1.266917852623239,1,"2026-01-29 10:22:39"
18,20260129,112,"31",empirical_bayes,MAE,1.2630844402679215,1,"2026-01-29 10:22:39"
19,20260129,112,"37",empirical_bayes,RMSE,1.3584740237319755,1,"2026-01-29 10:22:39"
20,20260129,112,"37",empirical_bayes,MAE,1.3566423288026084,1,"2026-01-29 10:22:39"
21,20260129,112,"38",empirical_bayes,RMSE,1.3423468505848184,1,"2026-01-29 10:22:39"
22,20260129,112,"38",empirical_bayes,MAE,1.3327208007735762,1,"2026-01-29 10:22:39"
23,20260129,141,"11",hierarchical_normal,Gelman_Rubin_Rhat,0.9997560332119838,1,"2026-01-29 10:22:39"
24,20260129,141,"21",hierarchical_normal,Gelman_Rubin_Rhat,0.9998572361504214,1,"2026-01-29 10:22:39"
25,20260129,141,"22",hierarchical_normal,Gelman_Rubin_Rhat,0.9999688728187796,1,"2026-01-29 10:22:39"
26,20260129,141,"24",hierarchical_normal,Gelman_Rubin_Rhat,1.0000847865594442,1,"2026-01-29 10:22:39"
27,20260129,141,"25",hierarchical_normal,Gelman_Rubin_Rhat,1.0000054650217538,1,"2026-01-29 10:22:39"
28,20260129,141,"31",empirical_bayes,RMSE,1.5054265800350435,1,"2026-01-29 10:22:39"
29,20260129,141,"31",empirical_bayes,MAE,1.5041414389825571,1,"2026-01-29 10:22:39"
30,20260129,141,"37",empirical_bayes,RMSE,1.461587032975699,1,"2026-01-29 10:22:39"
31,20260129,141,"37",empirical_bayes,MAE,1.4596263436961017,1,"2026-01-29 10:22:39"
32,20260129,142,"11",empirical_bayes,RMSE,0.1976503160230228,1,"2026-01-29 10:22:39"
33,20260129,142,"11",empirical_bayes,MAE,0.17626466524120055,1,"2026-01-29 10:22:39"
34,20260129,142,"11",empirical_bayes,Jarque_Bera_pvalue,0.6829533432956092,1,"2026-01-29 10:22:39"
35,20260129,142,"21",empirical_bayes,RMSE,0.2329493320088729,1,"2026-01-29 10:22:39"
36,20260129,142,"21",empirical_bayes,MAE,0.2127774618231122,1,"2026-01-29 10:22:39"
37,20260129,142,"22",empirical_bayes,RMSE,0.10047199759361707,1,"2026-01-29 10:22:39"
38,20260129,142,"22",empirical_bayes,MAE,0.09917953143155422,1,"2026-01-29 10:22:39"
39,20260129,142,"24",empirical_bayes,RMSE,0.14681993684007774,1,"2026-01-29 10:22:39"
40,20260129,142,"24",empirical_bayes,MAE,0.128878243624064,1,"2026-01-29 10:22:39"
