exmn_ymd,ctgry_cd,ctgry_nm,item_cd,item_nm,vrty_cd,vrty_nm,grd_cd,grd_nm,unit,unit_sz,sgg_cd,sgg_nm,mrkt_cd,mrkt_nm,exmn_dd_prc,exmn_dd_cnvs_prc,se_cd,se_nm
20250101,100,채소류,111,배추,1,배추,1,상,10kg,10,11,서울,1101,가락시장,28000,2800,2,도매
20250101,100,채소류,112,무,1,무,1,상,15kg,15,11,서울,1101,가락시장,36000,2400,2,도매
20250101,200,과일류,211,사과,1,후지,1,상,10kg,10,11,서울,1101,가락시장,21000,2100,2,도매
20250101,200,과일류,212,배,1,신고,1,상,15kg,15,11,서울,1101,가락시장,45000,3000,2,도매
20250101,200,과일류,213,감귤,1,노지,2,중,20kg,20,21,부산,2101,구포시장,68000,3400,2,도매
20250102,100,채소류,111,배추,1,배추,1,상,10kg,10,11,서울,1101,가락시장,28500,2850,2,도매
20250102,100,채소류,112,무,1,무,1,상,15kg,15,11,서울,1101,가락시장,37500,2500,2,도매
20250102,200,과일류,211,사과,1,후지,1,상,10kg,10,11,서울,1101,가락시장,20500,2050,2,도매
20250102,200,과일류,212,배,1,신고,1,상,15kg,15,11,서울,1101,가락시장,46500,3100,2,도매
20250102,200,과일류,213,감귤,1,노지,2,중,20kg,20,21,부산,2101,구포시장,67000,3350,2,도매
